Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sex,age,household_position,household_size,prev_residence_place,citizenship,country_birth,edu_level,economic_status,cur_eco_activity,Marital_status,occupation
0,0,0,0,0,1,6,1131,112,1,1,1,5,111,135,1,2_1
1,1,1,1,1,2,10,1122,113,1,1,1,2,111,122,2,5_4_9
2,2,2,2,2,1,8,1122,113,1,1,1,2,111,122,2,2_1
3,3,3,3,3,1,12,1121,112,1,1,1,1,111,137,2,5_4_9
4,4,4,4,4,2,4,1110,114,1,1,1,2,111,138,1,5_4_9
5,5,5,5,5,2,8,1122,126,1,1,1,2,112,131,2,2_1
6,6,6,6,6,1,11,1122,114,1,1,1,5,111,135,2,2_1
7,7,7,7,7,2,12,1121,112,1,1,1,2,111,138,2,5_4_9
8,8,8,8,8,2,8,1122,114,1,1,1,5,111,135,2,2_1
9,9,9,9,9,1,14,1131,112,1,1,1,3,111,131,3,2_1
10,10,10,10,10,1,10,1122,114,1,1,1,3,111,136,2,2_1
11,11,11,11,11,2,5,1110,114,1,1,1,3,112,131,1,5_4_9
12,12,12,12,12,1,10,1122,114,1,1,1,5,111,137,2,2_1
13,13,13,13,13,2,8,1122,126,1,1,1,5,112,134,2,2_1
14,14,14,14,14,2,4,1110,113,1,1,1,2,111,135,1,5_4_9
15,15,15,15,15,2,7,1210,111,1,1,1,3,111,138,1,5_4_9
16,16,16,16,16,2,6,1132,113,1,1,1,2,112,131,1,2_1
17,17,17,17,17,1,9,1121,112,1,1,1,2,111,139,2,5_4_9
18,18,18,18,18,1,11,1122,114,1,1,1,3,111,131,2,5_4_9
19,19,19,19,19,2,7,1122,113,1,1,1,5,111,137,2,2_1
20,20,20,20,20,2,8,1122,113,1,1,1,3,111,133,2,5_4_9
21,21,21,21,21,1,6,1110,113,1,1,1,5,111,135,1,2_1
22,22,22,22,22,2,6,1210,111,1,1,1,5,111,139,1,2_1
23,23,23,23,23,2,9,1122,114,1,1,1,5,111,137,2,2_1
24,24,24,24,24,2,10,1122,114,1,1,1,4,112,135,2,2_1
25,25,25,25,25,1,7,1131,112,1,1,1,4,111,124,1,2_1
26,26,26,26,26,1,8,1132,113,1,1,1,2,111,122,1,5_4_9
27,27,27,27,27,1,10,1122,113,1,1,1,2,112,139,2,2_1
28,28,28,28,28,1,13,1121,112,1,1,1,5,112,138,2,2_1
29,29,29,29,29,1,7,1122,113,1,1,1,5,111,135,2,2_1
30,30,30,30,30,2,7,1121,112,1,1,1,5,111,138,2,2_1
31,31,31,31,31,2,7,1122,125,1,1,1,3,111,138,2,5_4_9
32,32,32,32,32,2,4,1110,114,1,1,1,3,111,131,1,5_4_9
33,33,33,33,33,2,7,1140,113,1,1,1,3,111,131,3,5_4_9
34,34,34,34,34,1,7,1122,113,1,1,1,4,112,122,2,2_1
35,35,35,35,35,2,11,1122,114,1,1,1,5,111,137,2,2_1
36,36,36,36,36,1,7,1132,113,1,1,1,3,111,124,1,2_1
37,37,37,37,37,2,8,1122,113,1,1,1,3,111,135,2,5_4_9
38,38,38,38,38,2,10,1122,113,1,1,1,2,111,131,2,5_4_9
39,39,39,39,39,2,9,1122,114,1,1,1,2,111,122,2,5_4_9
40,40,40,40,40,2,9,1122,114,1,1,1,3,112,135,2,5_4_9
41,41,41,41,41,1,9,1110,113,1,1,1,2,111,138,1,5_4_9
42,42,42,42,42,2,11,1140,112,1,1,1,5,111,136,3,2_1
43,43,43,43,43,2,6,1132,113,1,1,1,1,111,138,3,5_4_9
44,44,44,44,44,1,11,1122,114,1,1,1,3,112,122,2,2_1
45,45,45,45,45,1,9,1122,113,1,1,1,2,111,135,2,2_1
46,46,46,46,46,1,10,1122,114,1,1,1,5,111,138,2,2_1
47,47,47,47,47,2,9,1122,125,1,1,1,5,111,137,2,2_1
48,48,48,48,48,1,7,1132,114,1,1,1,3,111,135,1,2_1
49,49,49,49,49,2,5,1110,113,1,1,1,4,111,133,1,2_1
50,50,50,50,50,1,6,1122,113,1,1,1,3,111,136,2,5_4_9
51,51,51,51,51,2,6,1131,112,1,1,1,5,111,138,1,5_4_9
52,52,52,52,52,2,6,1122,113,1,1,1,3,111,131,2,5_4_9
53,53,53,53,53,1,8,1210,111,1,1,1,5,111,131,1,2_1
54,54,54,54,54,1,8,1121,112,1,1,1,4,111,136,2,2_1
55,55,55,55,55,1,11,1131,112,1,1,1,5,111,134,3,5_4_9
56,56,56,56,56,1,8,1210,111,1,1,1,3,111,122,1,5_4_9
57,57,57,57,57,1,9,1122,114,1,1,1,1,111,135,2,5_4_9
58,58,58,58,58,1,8,1132,113,1,1,1,5,111,122,1,2_1
59,59,59,59,59,1,9,1122,114,1,1,1,4,111,134,2,5_4_9
