Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,decile1b,decile3,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,male,racetxt,tier,pass_bar
0,0,0,0,0,9.0,7.0,46.0,2.9,1.02,0.3,1.0,4.0,1.0,1,3,1
1,1,1,1,1,6.0,4.0,32.0,3.3,0.24,-0.45,1.0,3.0,0.0,1,3,1
2,2,2,2,2,7.0,5.0,41.0,3.9,0.54,-0.2,1.0,4.0,0.0,1,4,1
3,3,3,3,3,7.0,8.0,44.0,3.7,0.54,0.84,1.0,3.0,1.0,1,4,1
4,4,4,4,4,7.0,7.0,48.0,2.9,0.4,0.52,1.0,5.0,0.0,1,4,1
5,5,5,5,5,1.0,1.0,31.3,3.0,-2.13,-2.21,1.0,3.0,1.0,1,3,1
6,6,6,6,6,10.0,10.0,48.0,3.5,1.48,1.71,1.0,3.0,1.0,1,6,1
7,7,7,7,7,5.0,2.0,38.0,2.8,-0.14,-1.02,1.0,3.0,0.0,1,4,1
8,8,8,8,8,1.0,1.0,37.0,3.6,-1.18,-1.68,1.0,3.0,0.0,1,4,1
9,9,9,9,9,3.0,4.0,37.0,3.1,-0.58,-0.35,1.0,4.0,0.0,1,3,1
10,10,10,10,10,8.0,7.0,40.0,3.8,0.75,0.41,1.0,3.0,0.0,1,4,1
11,11,11,11,11,7.0,7.0,29.0,3.2,0.41,0.27,1.0,3.0,0.0,1,3,1
12,12,12,12,12,3.0,5.0,46.0,3.3,-0.77,-0.12,1.0,4.0,0.0,1,6,1
13,13,13,13,13,8.0,7.0,41.0,2.6,0.63,0.29,1.0,3.0,1.0,1,3,1
14,14,14,14,14,9.0,9.0,34.0,3.6,0.98,0.94,1.0,4.0,1.0,1,5,1
15,15,15,15,15,2.0,2.0,29.0,2.8,-1.03,-1.21,1.0,4.0,1.0,1,3,1
16,16,16,16,16,6.0,5.0,37.0,3.3,0.24,-0.08,1.0,4.0,1.0,1,3,1
17,17,17,17,17,10.0,9.0,36.5,2.9,1.59,1.31,1.0,2.0,0.0,1,1,1
18,18,18,18,18,8.0,7.0,25.0,3.0,0.77,0.48,1.0,4.0,0.0,1,4,1
19,19,19,19,19,9.0,9.0,45.0,3.4,0.94,1.02,1.0,4.0,1.0,1,4,1
20,20,20,20,20,4.0,3.0,39.0,2.8,-0.37,-0.67,1.0,4.0,1.0,1,4,1
21,21,21,21,21,10.0,9.0,42.0,3.8,1.59,1.15,1.0,4.0,0.0,1,6,1
22,22,22,22,22,10.0,10.0,48.0,3.4,2.08,1.89,1.0,4.0,1.0,1,4,1
23,23,23,23,23,5.0,3.0,35.5,3.5,-0.13,-0.77,1.0,3.0,0.0,1,3,1
24,24,24,24,24,6.0,7.0,41.0,3.4,0.12,0.4,1.0,4.0,0.0,1,4,1
25,25,25,25,25,2.0,6.0,34.0,3.3,-0.75,0.25,1.0,2.0,0.0,1,4,1
26,26,26,26,26,10.0,10.0,48.0,3.4,2.85,2.23,1.0,4.0,1.0,1,5,1
27,27,27,27,27,7.0,8.0,35.0,3.1,0.5,0.65,1.0,3.0,1.0,1,5,1
28,28,28,28,28,3.0,4.0,42.0,3.9,-0.63,-0.26,1.0,4.0,1.0,1,6,1
