,parents,has_nurs,form,children,housing,finance,social,health,class
0,usual,proper,complete,1,convenient,convenient,nonprob,recommended,recommend
1,usual,proper,complete,1,convenient,convenient,nonprob,priority,recommend
2,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,not_recommend
3,usual,proper,complete,1,convenient,convenient,slightly_prob,recommended,recommend
4,usual,proper,complete,1,convenient,convenient,slightly_prob,priority,recommend
5,usual,proper,complete,1,convenient,convenient,slightly_prob,not_recom,not_recommend
6,usual,proper,complete,1,convenient,convenient,problematic,recommended,recommend
7,usual,proper,complete,1,convenient,convenient,problematic,priority,recommend
8,usual,proper,complete,1,convenient,convenient,problematic,not_recom,not_recommend
9,usual,proper,complete,1,convenient,inconv,nonprob,recommended,recommend
10,usual,proper,complete,1,convenient,inconv,nonprob,priority,recommend
11,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,not_recommend
12,usual,proper,complete,1,convenient,inconv,slightly_prob,recommended,recommend
13,usual,proper,complete,1,convenient,inconv,slightly_prob,priority,recommend
14,usual,proper,complete,1,convenient,inconv,slightly_prob,not_recom,not_recommend
15,usual,proper,complete,1,convenient,inconv,problematic,recommended,recommend
16,usual,proper,complete,1,convenient,inconv,problematic,priority,recommend
17,usual,proper,complete,1,convenient,inconv,problematic,not_recom,not_recommend
18,usual,proper,complete,1,less_conv,convenient,nonprob,recommended,recommend
19,usual,proper,complete,1,less_conv,convenient,nonprob,priority,recommend
20,usual,proper,complete,1,less_conv,convenient,nonprob,not_recom,not_recommend
21,usual,proper,complete,1,less_conv,convenient,slightly_prob,recommended,recommend
22,usual,proper,complete,1,less_conv,convenient,slightly_prob,priority,recommend
23,usual,proper,complete,1,less_conv,convenient,slightly_prob,not_recom,not_recommend
24,usual,proper,complete,1,less_conv,convenient,problematic,recommended,recommend
25,usual,proper,complete,1,less_conv,convenient,problematic,priority,recommend
26,usual,proper,complete,1,less_conv,convenient,problematic,not_recom,not_recommend
27,usual,proper,complete,1,less_conv,inconv,nonprob,recommended,recommend
28,usual,proper,complete,1,less_conv,inconv,nonprob,priority,recommend
