Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,parents,has_nurs,form,children,housing,finance,social,health,class
0,0,0,0,0,0,usual,proper,complete,1,convenient,convenient,nonprob,recommended,recommend
1,1,1,1,1,1,usual,proper,complete,1,convenient,convenient,nonprob,priority,recommend
2,2,2,2,2,2,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,not_recommend
3,3,3,3,3,3,usual,proper,complete,1,convenient,convenient,slightly_prob,recommended,recommend
4,4,4,4,4,4,usual,proper,complete,1,convenient,convenient,slightly_prob,priority,recommend
5,5,5,5,5,5,usual,proper,complete,1,convenient,convenient,slightly_prob,not_recom,not_recommend
6,6,6,6,6,6,usual,proper,complete,1,convenient,convenient,problematic,recommended,recommend
7,7,7,7,7,7,usual,proper,complete,1,convenient,convenient,problematic,priority,recommend
8,8,8,8,8,8,usual,proper,complete,1,convenient,convenient,problematic,not_recom,not_recommend
9,9,9,9,9,9,usual,proper,complete,1,convenient,inconv,nonprob,recommended,recommend
10,10,10,10,10,10,usual,proper,complete,1,convenient,inconv,nonprob,priority,recommend
11,11,11,11,11,11,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,not_recommend
12,12,12,12,12,12,usual,proper,complete,1,convenient,inconv,slightly_prob,recommended,recommend
13,13,13,13,13,13,usual,proper,complete,1,convenient,inconv,slightly_prob,priority,recommend
14,14,14,14,14,14,usual,proper,complete,1,convenient,inconv,slightly_prob,not_recom,not_recommend
15,15,15,15,15,15,usual,proper,complete,1,convenient,inconv,problematic,recommended,recommend
16,16,16,16,16,16,usual,proper,complete,1,convenient,inconv,problematic,priority,recommend
17,17,17,17,17,17,usual,proper,complete,1,convenient,inconv,problematic,not_recom,not_recommend
18,18,18,18,18,18,usual,proper,complete,1,less_conv,convenient,nonprob,recommended,recommend
19,19,19,19,19,19,usual,proper,complete,1,less_conv,convenient,nonprob,priority,recommend
