Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,English speaker,Course instructor,Course,Summer or regular semester,Class size,Class attribute
0,0,0,0,0,1,23,3,1,19,3
1,1,1,1,1,2,15,3,1,17,3
2,2,2,2,2,1,23,3,2,49,3
3,3,3,3,3,1,5,2,2,33,3
4,4,4,4,4,2,7,11,2,55,3
5,5,5,5,5,2,23,3,1,20,3
6,6,6,6,6,2,9,5,2,19,3
7,7,7,7,7,2,10,3,2,27,3
8,8,8,8,8,1,22,3,1,58,3
9,9,9,9,9,2,15,3,1,20,3
10,10,10,10,10,2,10,22,2,9,3
11,11,11,11,11,2,13,1,2,30,3
12,12,12,12,12,2,18,21,2,29,3
13,13,13,13,13,2,6,17,2,39,3
14,14,14,14,14,2,6,17,2,42,2
15,15,15,15,15,2,6,17,2,43,2
16,16,16,16,16,2,7,11,2,10,2
17,17,17,17,17,2,22,3,2,46,2
18,18,18,18,18,2,13,3,1,10,2
19,19,19,19,19,2,7,25,2,42,2
20,20,20,20,20,2,25,7,2,27,2
21,21,21,21,21,2,25,7,2,23,2
22,22,22,22,22,2,2,9,2,31,2
23,23,23,23,23,2,1,15,1,22,2
24,24,24,24,24,2,15,13,2,37,2
25,25,25,25,25,2,7,11,2,13,2
26,26,26,26,26,2,8,3,2,24,2
27,27,27,27,27,2,14,15,2,38,2
28,28,28,28,28,2,21,2,2,42,1
29,29,29,29,29,2,22,3,2,28,1
30,30,30,30,30,2,11,1,2,51,1
31,31,31,31,31,2,18,5,2,19,1
32,32,32,32,32,2,13,1,2,31,1
33,33,33,33,33,1,13,3,1,13,1
34,34,34,34,34,2,5,2,2,37,1
35,35,35,35,35,2,16,8,2,36,1
36,36,36,36,36,2,4,16,2,21,1
37,37,37,37,37,2,5,2,2,48,1
38,38,38,38,38,2,14,15,2,38,1
39,39,39,39,39,1,23,3,1,19,3
40,40,40,40,40,2,15,3,1,17,3
41,41,41,41,41,1,23,3,2,49,3
42,42,42,42,42,1,5,2,2,33,3
43,43,43,43,43,2,7,11,2,55,3
44,44,44,44,44,2,23,3,1,20,3
45,45,45,45,45,2,9,5,2,19,3
46,46,46,46,46,2,10,3,2,27,3
47,47,47,47,47,1,22,3,2,58,3
48,48,48,48,48,2,15,3,1,20,3
49,49,49,49,49,2,10,22,2,9,3
50,50,50,50,50,2,13,1,2,30,3
51,51,51,51,51,2,18,21,2,29,3
52,52,52,52,52,2,6,17,2,39,3
53,53,53,53,53,2,6,17,2,42,2
54,54,54,54,54,2,6,17,2,43,2
55,55,55,55,55,2,7,11,2,10,2
56,56,56,56,56,2,22,3,2,46,2
57,57,57,57,57,2,13,3,1,10,2
58,58,58,58,58,2,7,25,2,42,2
59,59,59,59,59,2,25,7,2,27,2
60,60,60,60,60,2,25,7,2,23,2
61,61,61,61,61,2,2,9,2,31,2
62,62,62,62,62,2,1,15,1,22,2
63,63,63,63,63,2,15,13,2,37,2
64,64,64,64,64,2,7,11,2,13,2
65,65,65,65,65,2,8,3,2,24,2
66,66,66,66,66,2,14,15,2,38,2
67,67,67,67,67,2,21,2,2,42,1
68,68,68,68,68,2,22,3,2,28,1
69,69,69,69,69,2,11,1,2,51,1
70,70,70,70,70,2,18,5,2,19,1
71,71,71,71,71,2,13,1,2,31,1
72,72,72,72,72,1,13,3,1,13,1
73,73,73,73,73,2,5,2,2,37,1
74,74,74,74,74,2,16,8,2,36,1
75,75,75,75,75,2,4,16,2,21,1
76,76,76,76,76,2,5,2,2,48,1
77,77,77,77,77,2,14,15,2,38,1
78,78,78,78,78,1,23,3,1,25,3
79,79,79,79,79,1,13,3,1,17,3
80,80,80,80,80,2,16,19,2,11,3
81,81,81,81,81,2,9,2,2,39,3
82,82,82,82,82,2,13,3,1,11,3
83,83,83,83,83,2,18,21,2,19,3
84,84,84,84,84,1,22,3,2,45,3
85,85,85,85,85,2,7,11,1,20,3
86,86,86,86,86,2,23,3,1,20,3
87,87,87,87,87,1,23,3,1,20,3
88,88,88,88,88,1,23,3,2,38,3
89,89,89,89,89,2,14,22,2,17,3
90,90,90,90,90,1,17,17,2,19,3
91,91,91,91,91,2,9,5,2,24,3
92,92,92,92,92,2,18,25,2,25,3
93,93,93,93,93,1,17,17,2,31,3
94,94,94,94,94,2,1,15,2,31,3
95,95,95,95,95,2,1,8,2,18,2
96,96,96,96,96,1,11,16,2,22,2
97,97,97,97,97,1,22,13,2,27,2
98,98,98,98,98,2,9,2,2,14,2
99,99,99,99,99,2,13,1,2,20,2
100,100,100,100,100,1,6,17,2,35,2
101,101,101,101,101,2,23,3,1,20,2
102,102,102,102,102,1,23,3,1,20,2
103,103,103,103,103,2,6,17,2,37,2
104,104,104,104,104,1,22,3,2,15,2
105,105,105,105,105,2,20,2,2,25,2
106,106,106,106,106,2,23,3,2,10,2
107,107,107,107,107,2,20,2,2,14,1
108,108,108,108,108,1,23,3,2,38,1
109,109,109,109,109,2,13,1,2,29,1
110,110,110,110,110,2,10,3,2,19,1
111,111,111,111,111,2,7,11,2,30,1
112,112,112,112,112,1,14,15,2,32,1
113,113,113,113,113,2,8,3,2,27,1
114,114,114,114,114,2,12,7,2,34,1
115,115,115,115,115,2,8,7,2,23,1
116,116,116,116,116,2,15,1,2,66,1
117,117,117,117,117,2,23,3,2,12,1
118,118,118,118,118,2,2,9,2,29,1
119,119,119,119,119,2,15,1,2,19,1
120,120,120,120,120,2,20,2,2,3,1
121,121,121,121,121,2,13,14,2,17,3
122,122,122,122,122,2,9,6,2,7,3
123,123,123,123,123,1,10,3,2,21,3
124,124,124,124,124,2,14,15,2,36,3
125,125,125,125,125,1,13,1,2,54,3
126,126,126,126,126,1,8,3,2,29,3
127,127,127,127,127,2,20,2,2,45,3
128,128,128,128,128,2,22,1,2,11,2
129,129,129,129,129,2,18,12,2,16,2
130,130,130,130,130,2,20,15,2,18,2
131,131,131,131,131,1,17,18,2,44,2
132,132,132,132,132,2,14,23,2,17,2
133,133,133,133,133,2,24,26,2,21,2
134,134,134,134,134,2,9,24,2,20,2
135,135,135,135,135,2,12,8,2,24,2
136,136,136,136,136,2,9,6,2,5,2
137,137,137,137,137,2,22,1,2,42,2
138,138,138,138,138,2,7,11,2,30,1
139,139,139,139,139,2,10,3,2,19,1
140,140,140,140,140,2,23,3,2,11,1
141,141,141,141,141,2,17,18,2,29,1
142,142,142,142,142,2,16,20,2,15,1
143,143,143,143,143,2,3,2,2,37,1
144,144,144,144,144,2,19,4,2,10,1
145,145,145,145,145,2,23,3,2,24,1
146,146,146,146,146,2,3,2,2,26,1
147,147,147,147,147,2,10,3,2,12,1
148,148,148,148,148,1,18,7,2,48,1
149,149,149,149,149,2,22,1,2,51,1
150,150,150,150,150,2,2,10,2,27,1
