attribute,completeness,uniqueness,consistency,readability,name
age,100.0,0.15150894721755867,100.0,100.0,adult income
workclass,100.0,0.01842676385078416,100.0,69.41976168052086,adult income
fnlwgt,100.0,58.39850947954629,100.0,100.0,adult income
education,100.0,0.03275869129028296,100.0,1.3861021252200976,adult income
educational-num,100.0,0.03275869129028296,100.0,100.0,adult income
marital-status,100.0,0.014331927439498793,100.0,3.1079808361655954,adult income
occupation,100.0,0.030711273084640268,100.0,0.0,adult income
relationship,100.0,0.012284509233856107,100.0,55.63244748372303,adult income
race,100.0,0.010237091028213423,100.0,95.9276851889767,adult income
gender,100.0,0.00409483641128537,100.0,100.0,adult income
capital-gain,100.0,0.2518324392940502,100.0,100.0,adult income
capital-loss,100.0,0.20269440235862576,100.0,100.0,adult income
hours-per-week,100.0,0.1965521477416977,100.0,100.0,adult income
native-country,100.0,0.08599156463699276,100.0,1.1076532492526925,adult income
income,100.0,0.00409483641128537,100.0,0.0,adult income
age,100.0,0.13027916964924838,100.0,100.0,kdd census
class_of_worker,100.0,0.025769506084466716,100.0,93.77093772369362,kdd census
industry_code,100.0,0.07301360057265568,100.0,100.0,kdd census
occupation_code,100.0,0.06728704366499642,100.0,100.0,kdd census
education,100.0,0.048675733715103794,100.0,38.289191123836794,kdd census
wage_per_hour,100.0,1.027916964924839,100.0,100.0,kdd census
enrolled_in_edu_inst_lastwk,100.0,0.008589835361488905,100.0,100.0,kdd census
marital_status,100.0,0.020042949176807445,100.0,47.79957050823192,kdd census
major_industry_code,100.0,0.06871868289191124,100.0,30.357909806728706,kdd census
major_occupation_code,100.0,0.04294917680744453,100.0,66.50680028632785,kdd census
race,100.0,0.014316392269148175,100.0,95.94130279169649,kdd census
hispanic_origin,99.72226198997852,0.02863278453829635,100.0,86.89906943450251,kdd census
sex,100.0,0.0057265569076592705,100.0,100.0,kdd census
member_of_labor_union,100.0,0.008589835361488905,100.0,100.0,kdd census
reason_for_unemployment,100.0,0.01717967072297781,100.0,98.58840372226199,kdd census
full_parttime_employment_stat,100.0,0.022906227630637082,100.0,13.28131710808876,kdd census
capital_gains,100.0,0.17609162491052255,100.0,100.0,kdd census
capital_losses,100.0,0.15032211882605584,100.0,100.0,kdd census
dividend_from_Stocks,100.0,1.4087329992841804,100.0,100.0,kdd census
tax_filer_status,100.0,0.01717967072297781,100.0,22.512526843235506,kdd census
region_of_previous_residence,100.0,0.01717967072297781,100.0,98.19470293486042,kdd census
state_of_previous_residence,99.73657838224767,0.14602720114531137,100.0,93.19828203292771,kdd census
d_household_family_stat,100.0,0.09735146743020759,100.0,62.68718682891912,kdd census
d_household_summary,100.0,0.022906227630637082,100.0,68.0286327845383,kdd census
migration_msa,66.74731567644953,0.02863278453829635,100.0,34.17609162491052,kdd census
migration_reg,66.74731567644953,0.025769506084466716,100.0,41.91410164638511,kdd census
migration_within_reg,66.74731567644953,0.02863278453829635,100.0,41.63922691481747,kdd census
live_1_year_ago,100.0,0.008589835361488905,100.0,49.30708661417323,kdd census
migration_sunbelt,66.74731567644953,0.011453113815318541,100.0,83.28990694345025,kdd census
num_person_Worked_employer,100.0,0.010021474588403722,100.0,100.0,kdd census
family_members_under_18,100.0,0.014316392269148175,100.0,80.99069434502505,kdd census
country_father,97.70651395848246,0.1231209735146743,100.0,3.679312813171081,kdd census
country_mother,97.93843951324266,0.1231209735146743,100.0,3.468861846814603,kdd census
country_self,98.8589835361489,0.1231209735146743,100.0,1.9269863994273444,kdd census
citizenship,100.0,0.014316392269148175,100.0,0.0,kdd census
business_or_self_employed,100.0,0.004294917680744453,100.0,100.0,kdd census
fill_questionnaire_veteran_admin,100.0,0.008589835361488905,100.0,100.0,kdd census
veterans_benefits,100.0,0.004294917680744453,100.0,100.0,kdd census
weeks_worked_in_year,100.0,0.07587687902648532,100.0,100.0,kdd census
year,100.0,0.0028632784538296352,100.0,100.0,kdd census
income_level,100.0,0.0028632784538296352,100.0,100.0,kdd census
Id,100.0,100.0,100.0,100.0,german credit
Age,100.0,5.3,100.0,100.0,german credit
Sex,100.0,0.2,100.0,100.0,german credit
Job,100.0,0.4,100.0,100.0,german credit
Housing,100.0,0.3,100.0,100.0,german credit
Saving accounts,81.69999999999999,0.5,100.0,100.0,german credit
Checking account,60.6,0.4,100.0,100.0,german credit
Credit amount,100.0,92.10000000000001,100.0,100.0,german credit
Duration,100.0,3.3000000000000003,100.0,100.0,german credit
Purpose,100.0,0.8,100.0,49.3,german credit
Risk,100.0,0.2,100.0,100.0,german credit
sex,100.0,0.0033101621979476996,100.0,100.0,dutch census
age,100.0,0.019860973187686197,100.0,100.0,dutch census
household_position,100.0,0.013240648791790799,100.0,100.0,dutch census
household_size,100.0,0.009930486593843098,100.0,100.0,dutch census
prev_residence_place,100.0,0.0033101621979476996,100.0,100.0,dutch census
citizenship,100.0,0.004965243296921549,100.0,100.0,dutch census
country_birth,100.0,0.004965243296921549,100.0,100.0,dutch census
edu_level,100.0,0.009930486593843098,100.0,100.0,dutch census
economic_status,100.0,0.004965243296921549,100.0,100.0,dutch census
cur_eco_activity,100.0,0.019860973187686197,100.0,100.0,dutch census
Marital_status,100.0,0.006620324395895399,100.0,100.0,dutch census
occupation,100.0,0.0033101621979476996,100.0,0.0,dutch census
age,100.0,0.1703125345601734,100.0,100.0,bank marketing
job,100.0,0.026542213178208842,100.0,54.35624073787353,bank marketing
marital,100.0,0.0066355532945522105,100.0,88.48289133175554,bank marketing
education,100.0,0.00884740439273628,100.0,100.0,bank marketing
default,100.0,0.00442370219636814,100.0,100.0,bank marketing
balance,100.0,15.854548671783416,100.0,100.0,bank marketing
housing,100.0,0.00442370219636814,100.0,100.0,bank marketing
loan,100.0,0.00442370219636814,100.0,100.0,bank marketing
contact,100.0,0.0066355532945522105,100.0,100.0,bank marketing
day,100.0,0.06856738404370617,100.0,100.0,bank marketing
month,100.0,0.026542213178208842,100.0,31.50339519143571,bank marketing
duration,100.0,3.4792417774435425,100.0,100.0,bank marketing
