attribute,completeness,uniqueness,consistency,readability,name
age,100.0,0.1289873469554891,100.0,100.0,adult income
workclass,100.0,0.0184267638507841,100.0,69.41976168052086,adult income
fnlwgt,100.0,58.39850947954629,100.0,100.0,adult income
education,100.0,0.0327586912902829,100.0,1.3861021252200976,adult income
educational-num,100.0,0.0286638548789975,100.0,100.0,adult income
marital-status,100.0,0.0143319274394987,100.0,3.1079808361655954,adult income
occupation,100.0,0.0307112730846402,100.0,0.0,adult income
relationship,100.0,0.0122845092338561,100.0,55.63244748372303,adult income
race,100.0,0.0102370910282134,100.0,95.9276851889767,adult income
gender,100.0,0.0040948364112853,100.0,100.0,adult income
capital-gain,100.0,0.2415953482658367,100.0,100.0,adult income
capital-loss,100.0,0.2026944023586257,100.0,100.0,adult income
hours-per-week,100.0,0.1801728020965562,100.0,100.0,adult income
native-country,100.0,0.0859915646369927,100.0,1.1076532492526925,adult income
income,100.0,0.0040948364112853,100.0,0.0,adult income
age,100.0,0.1302791696492483,100.0,100.0,kdd census
class_of_worker,100.0,0.0257695060844667,100.0,93.77093772369362,kdd census
industry_code,100.0,0.0730136005726556,100.0,100.0,kdd census
occupation_code,100.0,0.0672870436649964,100.0,100.0,kdd census
education,100.0,0.0486757337151037,100.0,38.2891911238368,kdd census
wage_per_hour,100.0,1.027916964924839,100.0,100.0,kdd census
enrolled_in_edu_inst_lastwk,100.0,0.0085898353614889,100.0,100.0,kdd census
marital_status,100.0,0.0200429491768074,100.0,47.79957050823192,kdd census
major_industry_code,100.0,0.0687186828919112,100.0,30.357909806728703,kdd census
major_occupation_code,100.0,0.0429491768074445,100.0,66.50680028632785,kdd census
race,100.0,0.0143163922691481,100.0,95.94130279169649,kdd census
hispanic_origin,100.0,0.0272011453113815,100.0,86.89906943450251,kdd census
sex,100.0,0.0057265569076592,100.0,100.0,kdd census
member_of_labor_union,100.0,0.0085898353614889,100.0,100.0,kdd census
reason_for_unemployment,100.0,0.0171796707229778,100.0,98.588403722262,kdd census
full_parttime_employment_stat,100.0,0.022906227630637,100.0,13.28131710808876,kdd census
capital_gains,100.0,0.1732283464566929,100.0,100.0,kdd census
capital_losses,100.0,0.1503221188260558,100.0,100.0,kdd census
dividend_from_Stocks,100.0,1.4087329992841804,100.0,100.0,kdd census
tax_filer_status,100.0,0.0171796707229778,100.0,22.512526843235506,kdd census
region_of_previous_residence,100.0,0.0171796707229778,100.0,98.19470293486042,kdd census
state_of_previous_residence,100.0,0.1445955619183965,100.0,93.19828203292772,kdd census
d_household_family_stat,100.0,0.0973514674302075,100.0,62.68718682891912,kdd census
d_household_summary,100.0,0.022906227630637,100.0,68.0286327845383,kdd census
migration_msa,100.0,0.0272011453113815,100.0,0.9234073013600572,kdd census
migration_reg,100.0,0.0243378668575518,100.0,8.661417322834646,kdd census
migration_within_reg,100.0,0.0272011453113815,100.0,8.386542591267,kdd census
live_1_year_ago,100.0,0.0085898353614889,100.0,49.30708661417323,kdd census
migration_sunbelt,100.0,0.0100214745884037,100.0,83.28990694345025,kdd census
num_person_Worked_employer,100.0,0.0100214745884037,100.0,100.0,kdd census
family_members_under_18,100.0,0.0143163922691481,100.0,80.99069434502505,kdd census
country_father,100.0,0.1216893342877594,100.0,1.3858267716535433,kdd census
country_mother,100.0,0.1216893342877594,100.0,1.4073013600572657,kdd census
country_self,100.0,0.1216893342877594,100.0,0.7859699355762348,kdd census
citizenship,100.0,0.0143163922691481,100.0,0.0,kdd census
business_or_self_employed,100.0,0.0014316392269148,100.0,100.0,kdd census
fill_questionnaire_veteran_admin,100.0,0.0085898353614889,100.0,100.0,kdd census
veterans_benefits,100.0,0.0042949176807444,100.0,100.0,kdd census
weeks_worked_in_year,100.0,0.0758768790264853,100.0,100.0,kdd census
year,100.0,0.0028632784538296,100.0,100.0,kdd census
income_level,100.0,0.0014316392269148,100.0,100.0,kdd census
Id,100.0,100.0,100.0,100.0,german credit
Age,100.0,5.0,100.0,100.0,german credit
Sex,100.0,0.2,100.0,100.0,german credit
Job,100.0,0.4,100.0,100.0,german credit
Housing,100.0,0.3,100.0,100.0,german credit
Saving accounts,100.0,0.4,100.0,100.0,german credit
Checking account,100.0,0.3,100.0,100.0,german credit
Credit amount,100.0,92.1,100.0,100.0,german credit
Duration,100.0,3.1,100.0,100.0,german credit
Purpose,100.0,0.8,100.0,49.3,german credit
Risk,100.0,0.2,100.0,100.0,german credit
sex,100.0,0.0033101621979476,100.0,100.0,dutch census
age,100.0,0.0198609731876861,100.0,100.0,dutch census
household_position,100.0,0.0115855676928169,100.0,100.0,dutch census
household_size,100.0,0.009930486593843,100.0,100.0,dutch census
prev_residence_place,100.0,0.0016550810989738,100.0,100.0,dutch census
citizenship,100.0,0.0016550810989738,100.0,100.0,dutch census
country_birth,100.0,0.0016550810989738,100.0,100.0,dutch census
edu_level,100.0,0.009930486593843,100.0,100.0,dutch census
economic_status,100.0,0.0033101621979476,100.0,100.0,dutch census
cur_eco_activity,100.0,0.0182058920887123,100.0,100.0,dutch census
Marital_status,100.0,0.0049652432969215,100.0,100.0,dutch census
occupation,100.0,0.0033101621979476,100.0,0.0,dutch census
age,100.0,0.1703125345601734,100.0,100.0,bank marketing
job,100.0,0.0265422131782088,100.0,54.35624073787353,bank marketing
marital,100.0,0.0066355532945522,100.0,88.48289133175554,bank marketing
education,100.0,0.0088474043927362,100.0,100.0,bank marketing
default,100.0,0.0044237021963681,100.0,100.0,bank marketing
balance,100.0,15.854548671783416,100.0,100.0,bank marketing
housing,100.0,0.0044237021963681,100.0,100.0,bank marketing
loan,100.0,0.0044237021963681,100.0,100.0,bank marketing
contact,100.0,0.0066355532945522,100.0,100.0,bank marketing
day,100.0,0.0685673840437061,100.0,100.0,bank marketing
month,100.0,0.0265422131782088,100.0,31.50339519143571,bank marketing
duration,100.0,3.4792417774435425,100.0,100.0,bank marketing
campaign,100.0,0.1061688527128353,100.0,100.0,bank marketing
pdays,100.0,1.2364247638848953,100.0,100.0,bank marketing
previous,100.0,0.0906858950255468,100.0,100.0,bank marketing
poutcome,100.0,0.0088474043927362,100.0,100.0,bank marketing
y,100.0,0.0044237021963681,100.0,100.0,bank marketing
ID,100.0,100.0,100.0,100.0,credit card
LIMIT_BAL,100.0,0.2533333333333333,100.0,100.0,credit card
SEX,100.0,0.0066666666666666,100.0,100.0,credit card
EDUCATION,100.0,0.0166666666666666,100.0,100.0,credit card
MARRIAGE,100.0,0.0133333333333333,100.0,100.0,credit card
